callee,caller,spect
Dia,Dionysus,"[[0.33688712 0.59199407 0.55378561 ... 0.12091256 0.11162443 0.06257467]
 [0.25878263 0.37846719 0.60071578 ... 0.1016447  0.09981936 0.06010063]
 [0.21085021 0.18796609 0.51978591 ... 0.09441793 0.07858443 0.04191896]
 ...
 [0.05860609 0.07697685 0.08077437 ... 0.06477177 0.05589053 0.06530238]
 [0.07654144 0.10750756 0.06873111 ... 0.0712009  0.08508699 0.06022276]
 [0.08541339 0.09263693 0.09806271 ... 0.09385393 0.11981331 0.08078307]]"
Adonis,Ceto,"[[0.20097627 0.20681804 0.15217559 ... 0.16459096 0.1351735  0.08916003]
 [0.18777361 0.15457098 0.15848525 ... 0.15135921 0.08117362 0.03074456]
 [0.12213687 0.12620136 0.14839777 ... 0.14953627 0.07529039 0.03573435]
 ...
 [0.10404983 0.11478566 0.12981074 ... 0.8185826  0.70878412 0.65502992]
 [0.12035936 0.11047169 0.12663216 ... 0.59978443 0.53845531 0.49387466]
 [0.0938325  0.09298193 0.14529354 ... 0.43395615 0.41042095 0.35022003]]"
Dionysus,Dia,"[[0.11501888 0.20743914 0.17276203 ... 0.13647811 0.19581233 0.13332869]
 [0.09713203 0.21221821 0.15013761 ... 0.15294161 0.1888719  0.17138568]
 [0.18415957 0.15215034 0.13911866 ... 0.1732067  0.13964508 0.18635164]
 ...
 [0.1561958  0.14196993 0.17062166 ... 0.1343269  0.15158945 0.14205464]
 [0.16794024 0.11521258 0.14836752 ... 0.12134013 0.15701527 0.18038968]
 [0.16800505 0.12834224 0.17249807 ... 0.1224267  0.13022607 0.18135179]]"
Ceto,Dia,"[[0.109822   0.28923347 0.28778014 ... 0.22770989 0.19677089 0.23440624]
 [0.10312179 0.32990025 0.29568268 ... 0.240242   0.23200319 0.25511069]
 [0.10043457 0.36292389 0.29681294 ... 0.23145629 0.23497721 0.2211027 ]
 ...
 [0.1018065  0.10985594 0.18577863 ... 0.23884264 0.21093752 0.19000705]
 [0.09273257 0.1055462  0.14455446 ... 0.22874332 0.23145717 0.19883895]
 [0.04329099 0.08860557 0.14188002 ... 0.24648501 0.28191923 0.28016339]]"
Dia,Dionysus,"[[0.26679655 0.18573627 0.08319906 ... 0.10012384 0.08711358 0.12043215]
 [0.42237332 0.28507851 0.2378422  ... 0.04730465 0.124423   0.13293143]
 [0.60617979 0.53686447 0.50092519 ... 0.05753676 0.0834421  0.10481307]
 ...
 [0.09657189 0.11392355 0.07160842 ... 0.10087061 0.09193897 0.08849437]
 [0.14378461 0.15828539 0.15791682 ... 0.18717671 0.16024647 0.14036244]
 [0.14094205 0.11468333 0.14909408 ... 0.15865192 0.13215258 0.14294074]]"
Adonis,Dia,"[[0.28365563 0.21958966 0.10064667 ... 0.08102008 0.06800326 0.16662303]
 [0.33697692 0.30939785 0.2387116  ... 0.11219443 0.10868946 0.16609474]
 [0.49345379 0.4115235  0.35774462 ... 0.09978423 0.12012226 0.1041881 ]
 ...
 [0.15319592 0.08225053 0.09448924 ... 0.13957448 0.18931516 0.23225111]
 [0.11894873 0.13576775 0.09644696 ... 0.09153053 0.15405633 0.20788508]
 [0.04696041 0.13385379 0.12666101 ... 0.13502116 0.16464576 0.2102895 ]]"
Dia,Dionysus,"[[0.18273491 0.28677559 0.66892974 ... 0.14717341 0.1287454  0.06528141]
 [0.17144133 0.2423513  0.58409105 ... 0.19071053 0.14895238 0.11334717]
 [0.14801271 0.22687031 0.437686   ... 0.2093763  0.13018924 0.07227762]
 ...
 [0.13129041 0.15695927 0.13261529 ... 0.1754123  0.12144166 0.03660042]
 [0.12958433 0.189265   0.15596636 ... 0.19681504 0.14141283 0.02230399]
 [0.1108565  0.1253685  0.08954949 ... 0.16004717 0.11969806 0.02375837]]"
Dionysus,Dia,"[[0.13260941 0.11246535 0.13875063 ... 0.18635213 0.16045285 0.16218212]
 [0.07095123 0.10407871 0.1156063  ... 0.17644201 0.13591086 0.15282382]
 [0.03670122 0.10323608 0.07598397 ... 0.14605303 0.1646925  0.15847564]
 ...
 [0.13267012 0.13687487 0.14126297 ... 0.17301477 0.12469875 0.121968  ]
 [0.1058062  0.11347991 0.11397527 ... 0.165038   0.12910918 0.13624381]
 [0.11668151 0.1203967  0.12422478 ... 0.15017957 0.09382945 0.09266736]]"
Dia,Dionysus,"[[0.60659058 0.69443696 0.63718853 ... 0.06974955 0.06866467 0.03357601]
 [0.43385986 0.70034582 0.64115234 ... 0.0718372  0.05120224 0.01593262]
 [0.27489162 0.65474024 0.63821386 ... 0.03351907 0.07399674 0.05327071]
 ...
 [0.11947816 0.13507611 0.13792319 ... 0.28829933 0.71245058 0.74552103]
 [0.09721344 0.13029894 0.12623213 ... 0.18195338 0.58020142 0.73617739]
 [0.09705341 0.14370066 0.12177711 ... 0.16628135 0.40203646 0.61455294]]"
Adonis,Dia,"[[0.42009097 0.2877437  0.27355141 ... 0.12592626 0.07800533 0.06376706]
 [0.43971973 0.25908439 0.21167016 ... 0.10170011 0.08357312 0.04324562]
 [0.47248594 0.27261653 0.23658995 ... 0.15116685 0.09028903 0.07340931]
 ...
 [0.12802128 0.20892363 0.27971899 ... 0.08046599 0.0430931  0.00722288]
 [0.10586278 0.22518816 0.25928482 ... 0.07693759 0.05740856 0.01853053]
 [0.16276708 0.25810177 0.31317485 ... 0.06621871 0.05502612 0.03898232]]"
